ТИП1;ТИП2;ТИП3
Расчетное обслуживание;Возврат денежных средств;Наличный возврат
Расчетное обслуживание;Вопросы по содержанию счета;Предоставить документ
Расчетное обслуживание;Вопросы по содержанию счета;Предоставить консультацию
Расчетное обслуживание;Выберите;Выберите
Расчетное обслуживание;Выставление счета для аванс. платежа;Предоставить документ
Расчетное обслуживание;Доверительный платеж;Не определно
Расчетное обслуживание;Запрос акта сверки;Предоставить документ
Расчетное обслуживание;Запрос детализации интернет трафика;Не определено
Расчетное обслуживание;Запрос детализации счета;Предоставить документ
Расчетное обслуживание;Запрос копии счета/счета-фактуры;Предоставить документ
Расчетное обслуживание;Изменение кредитных лимитов;Выберите
Расчетное обслуживание;Изменение кредитных лимитов;Увеличить лимит
Расчетное обслуживание;Изменение кредитных лимитов;Уменьшить лимит
Расчетное обслуживание;Изменение способа доставки счета;Выберите
Расчетное обслуживание;Изменение способа доставки счета;ЕЛК
Расчетное обслуживание;Изменение способа доставки счета;Забирать курьером
Расчетное обслуживание;Изменение способа доставки счета;Не определено
Расчетное обслуживание;Изменение способа доставки счета;Отправлять курьером
Расчетное обслуживание;Изменение способа доставки счета;Отправлять по ЭДО
Расчетное обслуживание;Изменение способа доставки счета;Отправлять по e-mail
Расчетное обслуживание;Изменение способа доставки счета;Отправлять почтой
Расчетное обслуживание;Изменение способа доставки счета;Получать в офисе
Расчетное обслуживание;Изменение способа доставки счета;Присылать через факс
Расчетное обслуживание;Изменение способа доставки счета;Только on-line
Расчетное обслуживание;Конвергент;Выберите
Расчетное обслуживание;Конвергент;Изменение графика рассрочки
Расчетное обслуживание;Конвергент;Невозможно оплатить на ЛС ФУ
Расчетное обслуживание;Конвергент;Некорректно назначен ТП
Расчетное обслуживание;Кредит доверия;Выберите
Расчетное обслуживание;Кредит доверия;ЕШПД
Расчетное обслуживание;Кредит доверия;ТФОП
Расчетное обслуживание;Кредит доверия;GSM
Расчетное обслуживание;Обещанный платеж;Выберите
Расчетное обслуживание;Обещанный платеж;ЕШПД
Расчетное обслуживание;Обещанный платеж;л\с
Расчетное обслуживание;Обещанный платеж;Не определено
Расчетное обслуживание;Обещанный платеж;ОТА
Расчетное обслуживание;Обещанный платеж;Подключить услугу(и)
Расчетное обслуживание;Обещанный платеж;ТФОП
Расчетное обслуживание;Обещанный платеж;ШПД
Расчетное обслуживание;Обещанный платеж;GSM
Расчетное обслуживание;Обещанный платеж;IPTV
Расчетное обслуживание;Отключение доп. Услуг;Превентивный АГО
Расчетное обслуживание;Перенос денежных средств;Выберите
Расчетное обслуживание;Перенос денежных средств;Между лицевыми счетами
Расчетное обслуживание;Перенос денежных средств;Между поставщиками услуг
Расчетное обслуживание;Перенос денежных средств;Не определено
Расчетное обслуживание;Перенос денежных средств;Ошибочный платеж
Расчетное обслуживание;Платежи;Выберите
Расчетное обслуживание;Платежи;Не дошел платеж
Расчетное обслуживание;Платежи;Отсрочка платежа
Расчетное обслуживание;Платежи;Поиск платежа
Расчетное обслуживание;Платежи;Предоставление рассрочки оплаты
